Article:,Link:,Year Published:,Lot Number,Summary
Regeneration of axons in injured spinal cord by activation of bone morphogenetic protein/Smad1 signaling pathway in adult neurons,https://pmc.ncbi.nlm.nih.gov/articles/PMC3093464/ ,2011,,
Structure-function analysis of receptor-binding in adeno-associated virus serotype 6 (AAV-6),https://pubmed.ncbi.nlm.nih.gov/21917284/,2011,,
Lkb1 regulates organogenesis and early oncogenesis along AMPK-dependent and -independent pathways,PMC,2012,,
Simultaneous gene transduction and silencing using stimuli-responsive viral/nonviral chimeric nanoparticles,ScienceDirect,2012,,
Acquisition of Contextual Discrimination Involves the Appearance of a RAS-GRF1/p38 MAP Kinase-mediated Signaling Pathway That Promotes Long Term Potentiation,https://pmc.ncbi.nlm.nih.gov/articles/PMC3724629/,2013,,
Direct Comparison of Administration Routes for AAV8-mediated Ocular Gene Therapy,PubMed,2013,,
Long-term Expression of Apolipoprotein B mRNA-specific Hammerhead Ribozyme via scAAV8.2 Vector Inhibits Atherosclerosis in Mice,PMC,2013,,
Modulation of transgene expression in retinal gene therapy by selective laser treatment,https://pubmed.ncbi.nlm.nih.gov/23422827/,2013,,
Normalizing Dopamine D2 Receptor-Mediated Responses in D2 Null Mutant Mice by Virus-Mediated Receptor Restoration: Comparing D2L and D2S,https://pmc.ncbi.nlm.nih.gov/articles/PMC3858482/,2013,,
‘Recombinant adeno-associated virus serotype 9 with p65 ribozyme protects H9c2 cells from oxidative stress through inhibiting NF-κB signaling pathway’:,https://pmc.ncbi.nlm.nih.gov/articles/PMC4294148/#s22,2014,,
A ghrelin–growth hormone axis drives stress-induced vulnerability to enhanced fear,https://www.nature.com/articles/mp2013135,2014,,
AAV8 capsid variable regions at the two-fold symmetry axis contribute to high liver transduction by mediating nuclear entry and capsid uncoating,https://pubmed.ncbi.nlm.nih.gov/24725949/,2014,,
Compartment-Specific Modulation of GABAergic Synaptic Transmission by TRPV1 Channels in the Dentate Gyrus,https://pmc.ncbi.nlm.nih.gov/articles/PMC4261091/,2014,,
Convection-Enhanced Delivery of AAV2-PrPshRNA in Prion-Infected Mice,https://pmc.ncbi.nlm.nih.gov/articles/PMC4035323/,2014,,
Dystonia type 6 gene product Thap1: identification of a 50 kDa DNA-binding species in neuronal nuclear fractions,https://pubmed.ncbi.nlm.nih.gov/25231164/,2014,,
Early retinal neurodegeneration and impaired Ran-mediated nuclear import of TDP-43 in progranulin-deficient FTLD,PMC,2014,,
Impaired TrkB receptor signaling underlies corticostriatal dysfunction in Huntington’s disease,PMC,2014,,
Mitochondrial oxidant stress in locus coeruleus is regulated by activity and nitric oxide synthase,https://pmc.ncbi.nlm.nih.gov/articles/PMC4131291/,2014,,
Proteomics Analysis of Co-Purifying Cellular Proteins Associated with rAAV Vectors,https://pmc.ncbi.nlm.nih.gov/articles/PMC3911921/,2014,,
R-Ras Contributes to LTP and Contextual Discrimination,PMC,2014,,
Virally mediated optogenetic excitation and inhibition of pain in freely moving nontransgenic mice,PMC,2014,,
A neural basis for melanocortin-4 receptor regulated appetite,https://pmc.ncbi.nlm.nih.gov/articles/PMC4446192/,2015,,
A Parabrachial-Hypothalamic Cholecystokinin Neurocircuit Controls Counterregulatory Responses to Hypoglycemia,https://www.sciencedirect.com/science/article/pii/S1550413114005038,2015,,
A retrograde adeno-associated virus for collecting ribosome-bound mRNA from anatomically defined projection neurons,https://pmc.ncbi.nlm.nih.gov/articles/PMC4617378/,2015,,
Aberrant Purkinje cell activity is the cause of dystonia in a shRNA-based mouse model of Rapid Onset Dystonia-Parkinsonism,https://pmc.ncbi.nlm.nih.gov/articles/PMC4641034/,2015,,
Behavior-Linked FoxP2 Regulation Enables Zebra Finch Vocal Learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC4331621/,2015,,
Depression of Serotonin Synaptic Transmission by the Dopamine Precursor L-DOPA,https://www.sciencedirect.com/science/article/pii/S2211124715007317,2015,,
Distinct regulation of dopamine D2S and D2L autoreceptor signaling by calcium,https://elifesciences.org/articles/09358,2015,,
FrzA gene protects cardiomyocytes from H2O2-induced oxidative stress through restraining the Wnt/Frizzled pathway,https://pmc.ncbi.nlm.nih.gov/articles/PMC4539933/,2015,,
Inhibition of the NF-κB pathway by R65 ribozyme gene via adeno-associated virus serotype 9 ameliorated oxidized LDL induced human umbilical vein endothelial cell injury,https://pmc.ncbi.nlm.nih.gov/articles/PMC4637785/,2015,,
Selective activation of a putative reinforcement signal conditions cued interval timing in primary visual cortex,https://pmc.ncbi.nlm.nih.gov/articles/PMC4470722/,2015,,
Targeting transgene to the heart and liver with AAV9 by different promoters,https://pubmed.ncbi.nlm.nih.gov/26173818/,2015,,
Therapeutic delivery of cyclin-A2 via recombinant adeno-associated virus serotype 9 restarts the myocardial cell cycle: An in vitro study,https://www.spandidos-publications.com/10.3892/mmr.2015.3147#,2015,,
TRPC3 channels critically regulate hippocampal excitability and contextual fear memory,https://pmc.ncbi.nlm.nih.gov/articles/PMC4677051/,2015,,
A rapidly-acting glutamatergic ARC→PVH satiety circuit postsynaptically regulated by α-MSH,https://pmc.ncbi.nlm.nih.gov/articles/PMC5191921/,2016,,
A robust activity marking system for exploring active neuronal ensembles,https://elifesciences.org/articles/13918,2016,,
An Intrabody Drug (rAAV6-INT41) Reduces the Binding of N-Terminal Huntingtin Fragment(s) to DNA to Basal Levels in PC12 Cells and Delays Cognitive Loss in the R6/2 Animal Model,https://onlinelibrary.wiley.com/doi/10.1155/2016/7120753,2016,,
Brain-derived neurotrophic factor protects against tau-related neurodegeneration of Alzheimer's disease,PMC,2016,,
Brain-derived neurotrophic factor protects against tau-related neurodegeneration of Alzheimer’s disease,PMC,2016,,
CREB overexpression in dorsal CA1 ameliorates long-term memory deficits in aged rats,https://elifesciences.org/articles/19358,2016,,
Hepatocyte Heparan Sulfate Is Required for Adeno-Associated Virus 2 but Dispensable for Adenovirus 5 Liver Transduction In Vivo,PMC,2016,,
High-fidelity optical excitation of cortico-cortical projections at physiological frequencies,https://pmc.ncbi.nlm.nih.gov/articles/PMC5102304/,2016,,
Highly efficient homology-driven genome editing in human T cells by combining zinc-finger nuclease mRNA and AAV6 donor delivery,PMC,2016,,
In Vivo Hepatic Reprogramming of Myofibroblasts with AAV Vectors as a Therapeutic Strategy for Liver Fibrosis,https://pmc.ncbi.nlm.nih.gov/articles/5325707/,2016,,
Prevalence of AAV1 neutralizing antibodies and consequences for a clinical trial of gene transfer for advanced heart failure,PMC,2016,,
Role of Hypothalamic Creb-Binding Protein in Obesity and Molecular Reprogramming of Metabolic Substrates,https://pmc.ncbi.nlm.nih.gov/articles/PMC5104324/,2016,,
Targeted Gene Addition to a Safe Harbor locus in human CD34+ Hematopoietic Stem Cells for Correction of X-linked Chronic Granulomatous Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC4824656/,2016,,
‘Recombinant adeno-associated virus serotype 9 in a mouse model of atherosclerosis: Determination of the optimal expression time in vivo’:,"https://pmc.ncbi.nlm.nih.gov/articles/PMC5364991/#sec2
",2017,,
A role for cerebellum in the hereditary dystonia DYT1,https://elifesciences.org/articles/22775,2017,,
Aldosterone-Sensing Neurons in the NTS Exhibit State-Dependent Pacemaker Activity and Drive Sodium Appetite via Synergy with Angiotensin II Signaling,PMC,2017,,
Arcuate neuropeptide Y inhibits sympathetic nerve activity via multiple neuropathways,https://www.jci.org/articles/view/92008,2017,,
Cellular selectivity of AAV serotypes for gene delivery in neurons and astrocytes by neonatal intracerebroventricular injection,https://pmc.ncbi.nlm.nih.gov/articles/PMC5731760/,2017,,
In vivo two-photon imaging of striatal neuronal circuits in mice,https://www.sciencedirect.com/science/article/pii/S107474271630106X,2017,,
Integration of a CD19 CAR into the TCR Alpha Chain Locus Streamlines Production of Allogeneic Gene-Edited CAR T Cells,https://www.sciencedirect.com/science/article/pii/S1525001617300588,2017,,
Mobile zinc increases rapidly in the retina after optic nerve injury and regulates ganglion cell survival and optic nerve regeneration,PMC,2017,,
To transduce a zebra finch: interrogating behavioral mechanisms in a model system for speech,https://link.springer.com/article/10.1007/s00359-017-1153-0,2017,,
α-Synuclein-Dependent Calcium Entry Underlies Differential Sensitivity of Cultured SN and VTA Dopaminergic Neurons to a Parkinsonian Neurotoxin,https://www.eneuro.org/content/4/6/ENEURO.0167-17.2017,2017,,
α2-Adrenergic blockade rescues hypoglossal motor defense against obstructive sleep apnea,https://insight.jci.org/articles/view/91456,2017,,
A hypothalamic circuit for the circadian control of aggression,https://pmc.ncbi.nlm.nih.gov/articles/PMC5920747/,2018,,
A Robust Optomotor Assay for Assessing the Efficacy of Optogenetic Tools for Vision Restoration,https://pmc.ncbi.nlm.nih.gov/articles/PMC5839255/,2018,,
AAV8 virions hijack serum proteins to increase hepatocyte binding for transduction enhancement,https://pubmed.ncbi.nlm.nih.gov/29455066/,2018,,
Bidirectional scaling of vocal variability by an avian cortico-basal ganglia circuit,https://pmc.ncbi.nlm.nih.gov/articles/PMC5913712/,2018,,
"Brs3 neurons in the mouse dorsomedial hypothalamus regulate body temperature, energy expenditure and heart rate, but not food intake",https://pmc.ncbi.nlm.nih.gov/articles/PMC6203600/,2018,,
